ldi_field,name,scaling,status,confidence,note
1,Speed,/ 100 = km/h,documented,verified_android,matches 98-2D
2,Cadence,rpm (direct),documented,verified_android,cadence-gate source when 98-5A absent
5,Rider power,W (direct),documented,verified_android,byte-exact match with 98-5B
9,Ambient brightness,/ 1000 = lux,documented,verified_android,
10,Battery SoC,%,documented,verified_android,matches 80-88
11,Time,epoch seconds,documented,verified_android,
12,Odometer,metres,documented,verified_android,matches 98-18
17,Bike light,0=invalid 1=off 2=on,documented,verified_android,
21,System locked,bool,documented,verified_android,
22,Charger connected,bool,documented,verified_android,
23,Light reserve mode,bool,documented,verified_android,
24,Diagnosis active,bool,documented,verified_android,
25,Standstill (not driving),bool,documented,verified_android,
8,Assist level,0-4,undocumented,verified_android,tracks 98-09 exactly
7,Rider torque,/ 10 = Nm,undocumented,verified_android,= power*60/(2pi*cadence); diag 98-14 same signal at /20
13,Trip average speed,/ 100 = km/h,undocumented,verified_android,odometer delta / field 16 ride time
14,Trip max speed,/ 100 = km/h,undocumented,verified_android,running max of field 1; exact 83/83
16,Trip ride time,seconds,undocumented,verified_android,1/s moving; frozen while standstill
15,Odometer snapshot at ride start,metres,undocumented,candidate,updates when standstill clears
3,Per-mode range estimates,km,undocumented,verified_android,= diag 98-57
18,Shift recommendation (?),pulse,undocumented,candidate,pulses 1->2 or 1->3 while riding (derailleur)
19,unknown / constant,n/a,undocumented,unknown,
20,unknown / constant,n/a,undocumented,unknown,
27,unknown / constant,n/a,undocumented,unknown,
